image,disease,area,grow,points,original,disease-grow
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0000_S01_1.jpg,0,3,11,"[{'xtl': 2034, 'ytl': 1153, 'xbr': 2436, 'ybr': 1667}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0001_S01_1.jpg,0,3,11,"[{'xtl': 1513, 'ytl': 676, 'xbr': 2325, 'ybr': 1682}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0007_S01_1.jpg,0,3,11,"[{'xtl': 1438, 'ytl': 1142, 'xbr': 2442, 'ybr': 2296}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0011_S01_1.jpg,0,3,11,"[{'xtl': 2269, 'ytl': 1515, 'xbr': 2991, 'ybr': 2267}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0014_S01_1.jpg,0,3,11,"[{'xtl': 480, 'ytl': 170, 'xbr': 1790, 'ybr': 980}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0017_S01_1.jpg,0,3,11,"[{'xtl': 2598, 'ytl': 1017, 'xbr': 4025, 'ybr': 2011}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0020_S01_1.jpg,0,3,11,"[{'xtl': 1634, 'ytl': 1002, 'xbr': 2520, 'ybr': 1911}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0026_S01_1.jpg,0,3,11,"[{'xtl': 1778, 'ytl': 1645, 'xbr': 2711, 'ybr': 2820}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0031_S01_1.jpg,0,3,11,"[{'xtl': 2066, 'ytl': 1461, 'xbr': 3063, 'ybr': 2329}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0040_S01_1.jpg,0,3,11,"[{'xtl': 1929, 'ytl': 339, 'xbr': 2913, 'ybr': 1282}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0042_S01_1.jpg,0,3,11,"[{'xtl': 971, 'ytl': 1170, 'xbr': 1837, 'ybr': 1972}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0044_S01_1.jpg,0,3,11,"[{'xtl': 1420, 'ytl': 1089, 'xbr': 1971, 'ybr': 1665}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0045_S01_1.jpg,0,3,11,"[{'xtl': 1987, 'ytl': 1295, 'xbr': 2955, 'ybr': 1834}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0046_S01_1.jpg,0,3,11,"[{'xtl': 1505, 'ytl': 1203, 'xbr': 2238, 'ybr': 2493}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0047_S01_1.jpg,0,3,11,"[{'xtl': 1455, 'ytl': 1085, 'xbr': 2449, 'ybr': 1758}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0050_S01_1.jpg,0,3,11,"[{'xtl': 1411, 'ytl': 1215, 'xbr': 2461, 'ybr': 1984}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0058_S01_1.jpg,0,3,11,"[{'xtl': 1962, 'ytl': 726, 'xbr': 2593, 'ybr': 1516}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0059_S01_1.jpg,0,3,11,"[{'xtl': 1627, 'ytl': 1419, 'xbr': 2473, 'ybr': 2849}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0064_S01_1.jpg,0,3,11,"[{'xtl': 1588, 'ytl': 1019, 'xbr': 2367, 'ybr': 1981}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0070_S01_1.jpg,0,3,11,"[{'xtl': 1421, 'ytl': 741, 'xbr': 1789, 'ybr': 1251}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0072_S01_1.jpg,0,3,11,"[{'xtl': 1693, 'ytl': 526, 'xbr': 2137, 'ybr': 1140}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0075_S01_1.jpg,0,3,11,"[{'xtl': 1409, 'ytl': 901, 'xbr': 2720, 'ybr': 1928}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0078_S01_1.jpg,0,3,11,"[{'xtl': 1483, 'ytl': 994, 'xbr': 2447, 'ybr': 2136}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0084_S01_1.jpg,0,3,11,"[{'xtl': 1405, 'ytl': 988, 'xbr': 1813, 'ybr': 1610}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0085_S01_1.jpg,0,3,11,"[{'xtl': 1449, 'ytl': 588, 'xbr': 1835, 'ybr': 1146}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0087_S01_1.jpg,0,3,11,"[{'xtl': 1412, 'ytl': 1009, 'xbr': 2482, 'ybr': 1944}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0096_S01_1.jpg,0,3,11,"[{'xtl': 1856, 'ytl': 1236, 'xbr': 2438, 'ybr': 1808}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0101_S01_1.jpg,0,3,11,"[{'xtl': 1955, 'ytl': 365, 'xbr': 2637, 'ybr': 1136}]",,0-11
/home/lab38/images/상추_정상/V006_77_0_00_05_03_11_0_b04_20201119_0107_S01_1.jpg,0,3,11,"[{'xtl': 1269, 'ytl': 886, 'xbr': 1987, 'ybr': 1293}]",,0-11
